Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
54309785742,Fondation pour la Nature et l'Homme,Fondation pour la Nature et l'Homme,114135.0,1980
108943410672988,SPRiNG,WeSpring,113298.0,81
495762937483621,Les Lignes Bougent,Les Lignes Bougent,111496.0,637
819996268096190,Identity & Democracy Party,Identity & Democracy Party,110480.0,317
328227120690505,Ministère du Travail,Ministère du Travail,108417.0,47
1757782394471400,Brut,Brut,107314.0,178
884445694984443,La Région Occitanie / Pyrénées-Méditerranée,La Région Occitanie / Pyrénées-Méditerranée,106981.0,134
1815507421886752,Les primes énergie FR,Eco home,104441.0,1016
100140410085507,350 France,350 France,104415.0,233
101686454955935,Mes Soutiens - Médecins du Monde,Médecins du Monde France,104300.0,1303
102822621847101,L'éco Prime,These ads ran without a disclaimer,101977.0,264
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,99827.0,18
213536435417677,Fondation de France,Fondation de France,99674.0,1035
194934737335658,foodwatch France,foodwatch France,99025.0,331
1022379694635099,Primes Energie France,Energie FRANCE,98928.0,549
135590433555491,Diffuz Solidaire,MACIF,98492.0,208
21254500749,Rassemblement National,Rassemblement National,98199.0,4233
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,98119.0,18
158609180861860,Ministère Écologie Territoires,Ministère de la Transition écologique et solidaire,97837.0,19
106744734249541,J'accueille,SINGA France,97576.0,573
110718474069190,Opera News France,These ads ran without a disclaimer,97118.0,118
217145431660305,Syndicat CFTC,Syndicat CFTC,92913.0,387
103804191671034,Tilt,"Tilt, une initiative de l'AFD",92882.0,986
413401852112275,La Mie de Pain,LA MIE DE PAIN,92679.0,214
1863804550583555,Iso Service,Alon Tebeka,92358.0,129
256197435586,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,92328.0,1386
433170297221149,2 Min Ecologie,These ads ran without a disclaimer,91154.0,188
194745373893883,Le Jour du Seigneur,Le Jour du Seigneur,90872.0,164
1891306977793412,France Alzheimer et maladies apparentées,France Alzheimer et maladies apparentées,89469.0,964
383882575328659,GRTgaz,GRTgaz,88277.0,564
145401631365,SSAB,SSAB Swedish Steel S.A.S.,88216.0,16
1757782394471400,Brut,These ads ran without a disclaimer,87038.0,244
145392792632,WWF-France,WWF-France,86682.0,446
1598764970362891,Jordan Bardella,Jordan Bardella,86012.0,268
223968877680152,Renault,These ads ran without a disclaimer,85631.0,109
340654233462962,Maplanèteverte,Ma Planète Verte,85008.0,444
117709028343322,Association pour le Droit de Mourir dans la Dignité - ADMD,Association pour le Droit de Mourir dans la Dignité - ADMD,84878.0,226
305608429284,EU Environment,Commission européenne en France,84271.0,60
2151862108254266,Zéro Déchet France,Maitiarii Romain Edouard Bouly,81838.0,627
110000413816860,Mes-Soutiens - HCR France,ORIXA MEDIA,81535.0,2880
220098248063927,Samusocial de Paris,Samusocial de Paris,79957.0,496
404427720023574,Extrême,Emilie Marie-Hélène Boisselle,79239.0,8
100160149099313,Justice Initiative,Justice Initiative,79196.0,31
104442548176455,Mademoiselle Culotte,These ads ran without a disclaimer,78603.0,27
2263121200569757,Isolations Gratuite,LA PLATEFORME DU LEAD,78316.0,519
475724165824248,Roundtable on Sustainable Palm Oil - RSPO,Roundtable on Sustainable Palm Oil - RSPO,77539.0,17
99340666617,Nettoyons la Nature,E.Leclerc,76745.0,10
