Page ID,Page name,Disclaimer,Amount spent (EUR)
171642822876384,Réunion la 1ère,These ads ran without a disclaimer,≤100
103850724386612,2021 Sada-Chirongui,These ads ran without a disclaimer,≤100
1837396762937162,Politique de Vie,Christian Cotten Jean Boniface,≤100
107975977365582,Soibahadine Ibrahim Ramadani,These ads ran without a disclaimer,≤100
129937573715922,Robert Mendoza,These ads ran without a disclaimer,≤100
105855230946741,Djadjou 2020,These ads ran without a disclaimer,≤100
2049417915273959,CFTC La Poste,CFTC Media+,≤100
155265211734740,POINT S Mayotte,These ads ran without a disclaimer,≤100
102204495033537,Free-Comores,These ads ran without a disclaimer,≤100
1646214202128713,Prix ÉVEIL à la Citoyenneté,These ads ran without a disclaimer,≤100
104027915408507,ONU Climat,These ads ran without a disclaimer,≤100
103942024477355,Social Financy Groupe,These ads ran without a disclaimer,≤100
109509397152844,S’unir pour un nouvel élan,These ads ran without a disclaimer,≤100
651855924839455,Clap productions,These ads ran without a disclaimer,≤100
341202122686131,Association  Fahamou   Maecha 976,These ads ran without a disclaimer,≤100
122037308191612,Make.org,Make.org with Facebook ad credits,≤100
190010265716,Cisco Networking Academy,These ads ran without a disclaimer,≤100
144605586488363,Sainte Vierge de Gwadalupe,These ads ran without a disclaimer,≤100
130084367651253,Alba Partida,These ads ran without a disclaimer,≤100
111833920993546,DefendstoiMayotte,These ads ran without a disclaimer,≤100
179760352376771,13e Parallèle,These ads ran without a disclaimer,≤100
154069625410847,Agir pour l'Environnement Moi j'y crois,These ads ran without a disclaimer,≤100
101812292141940,oOvango,These ads ran without a disclaimer,≤100
196708717010864,Ministère de la Justice,These ads ran without a disclaimer,≤100
106217518528394,Bilibili Comics home,These ads ran without a disclaimer,≤100
386587978073806,Si me pones niñera no voy al colegio,These ads ran without a disclaimer,≤100
1899243206850125,FitCoach by Welltech,These ads ran without a disclaimer,≤100
119811062753310,Anne-Constance Onghéna,Anne-Constance Gilberte Paula Onghéna,≤100
935766099833865,SNCL FAEN,SNCL,≤100
92572781406,"Gavi, the Vaccine Alliance",These ads ran without a disclaimer,≤100
102962924573499,Melchior.fr,Agence Verywell,≤100
113109233792727,Co'reindré,These ads ran without a disclaimer,≤100
1292178437495585,Canal+ Mayotte,These ads ran without a disclaimer,≤100
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100
326504257900657,Monsieur Rodolphe,These ads ran without a disclaimer,≤100
1482078522101758,SeDomicilier,These ads ran without a disclaimer,≤100
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100
101388704707080,Ville de Chiconi,These ads ran without a disclaimer,≤100
108473280642295,Cinéma Mayotte,These ads ran without a disclaimer,≤100
499216563439238,Politique Guadeloupe,These ads ran without a disclaimer,≤100
391614484041776,Financement Quotidienne,These ads ran without a disclaimer,≤100
110079478080875,Bayyeux Outlet,These ads ran without a disclaimer,≤100
537076756820902,MDM Tsingoni,These ads ran without a disclaimer,≤100
119652697789471,Nuances du mal,These ads ran without a disclaimer,≤100
545829029103459,Institut du Pont-Neuf,Fondation du Pont-Neuf,≤100
106307502863581,Site-mémorial du Camp des Milles,Site-mémorial du Camp des Milles,≤100
114910850367368,SÓ ARTES,These ads ran without a disclaimer,≤100
101871961340545,Pamandzi Island,These ads ran without a disclaimer,≤100
63878936643,Jean Felix Lalanne,These ads ran without a disclaimer,≤100
11450328749,Jean-Luc Mélenchon,La France insoumise,≤100
1625184487791517,cultur'easy,These ads ran without a disclaimer,≤100
520021431842443,EcoFuel Premium,These ads ran without a disclaimer,≤100
152342924830630,France 3 Occitanie,These ads ran without a disclaimer,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100
105835564457810,Series,These ads ran without a disclaimer,≤100
158714780827513,UNFPA,UNFPA,≤100
107380783977255,Red Cole ️,These ads ran without a disclaimer,≤100
362292347604470,Goodbye Plastic,These ads ran without a disclaimer,≤100
112086344310913,Mohamed Bacar,These ads ran without a disclaimer,≤100
207349396365945,Union des Savoirs,L'Union des Savoirs,≤100
117680771649889,Bailey Callahan Music,These ads ran without a disclaimer,≤100
352374558484389,Inadcom,These ads ran without a disclaimer,≤100
109339070837432,Université Numérique de La Réunion,NAWAR PRODUCTIONS,≤100
106233214701518,Direction des bourses financière et aide non remboursable,These ads ran without a disclaimer,≤100
102207404498334,Bourse-familiale,These ads ran without a disclaimer,≤100
788477174582031,Africa CDC,These ads ran without a disclaimer,≤100
