Page ID,Page name,Disclaimer,Amount spent (EUR)
205223110029331,EWAG Live,These ads ran without a disclaimer,≤100
501074179942614,Vale Lambo,These ads ran without a disclaimer,≤100
1435074753238052,Les 500 Frères Officiel,These ads ran without a disclaimer,≤100
410190732732890,Doors,These ads ran without a disclaimer,≤100
1673373176208218,Lénaïck ADAM,Lénaïck ADAM,≤100
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100
296354057501139,Cabinet Accessibilités néO,These ads ran without a disclaimer,≤100
111475824504616,Growth Hacking-Health,These ads ran without a disclaimer,≤100
949800081717760,SYSTEKO,These ads ran without a disclaimer,≤100
109021167557191,Kaz'Avenir LGBT+,These ads ran without a disclaimer,≤100
122037308191612,Make.org,Make.org with Facebook ad credits,≤100
341942132652310,Ministère de la Santé,These ads ran without a disclaimer,≤100
520021431842443,EcoFuel Premium,These ads ran without a disclaimer,≤100
105357965549522,Aracte Guyane,These ads ran without a disclaimer,≤100
129937573715922,Robert Mendoza,These ads ran without a disclaimer,≤100
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100
203197030603239,8 Billion Trees,These ads ran without a disclaimer,≤100
113890360057398,France Assos Santé Guyane,These ads ran without a disclaimer,≤100
102631698510848,arthur_gerard12,These ads ran without a disclaimer,≤100
100528494989042,Funy Shop,These ads ran without a disclaimer,≤100
207651769646474,Association AQUAA,These ads ran without a disclaimer,≤100
178674135334159,Parrot: AI Voice Generator,These ads ran without a disclaimer,≤100
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100
114910850367368,SÓ ARTES,These ads ran without a disclaimer,≤100
437290166297323,Myastro,These ads ran without a disclaimer,≤100
416826841687679,Zoo-refuge de Guyane,These ads ran without a disclaimer,≤100
103920738028719,ljwt.photo,These ads ran without a disclaimer,≤100
821138848069683,Crédit Agricole Mutuel Martinique-Guyane,These ads ran without a disclaimer,≤100
115366836686423,Regrow My Planet,These ads ran without a disclaimer,≤100
2049417915273959,CFTC La Poste,CFTC Media+,≤100
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100
263891677826490,Earthsider,These ads ran without a disclaimer,≤100
270709174714,anform,These ads ran without a disclaimer,≤100
1438981339458827,Libra Formation,LIBRA FORMATION,≤100
935766099833865,SNCL FAEN,SNCL,≤100
1451772388394989,UNSA Fonction publique,UNSA Fonction Publique,≤100
480305829018059,Badland Brawl,These ads ran without a disclaimer,≤100
105633327665205,Nahel Lama 2022,These ads ran without a disclaimer,≤100
100157338175673,Accélérateur-immobilier,These ads ran without a disclaimer,≤100
249511025094939,Fundación CorpArtes,These ads ran without a disclaimer,≤100
207349396365945,Union des Savoirs,L'Union des Savoirs,≤100
247786061947628,FEHAP,FEHAP,≤100
117680771649889,Bailey Callahan Music,These ads ran without a disclaimer,≤100
604742389649107,Seekers Notes,These ads ran without a disclaimer,≤100
109683423840398,HSE Guyane,These ads ran without a disclaimer,≤100
1013851792024474,Peupl'en Harmonie,These ads ran without a disclaimer,≤100
912164435559998,Proclim Guyane,These ads ran without a disclaimer,≤100
1946150992264027,Hitbox Bar,These ads ran without a disclaimer,≤100
103271587984683,Buergerfondscitoyen,Make.org,≤100
1482078522101758,SeDomicilier,These ads ran without a disclaimer,≤100
152342924830630,France 3 Occitanie,These ads ran without a disclaimer,≤100
563599027015023,CTG Collectivité Territoriale de Guyane,These ads ran without a disclaimer,≤100
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100
63878936643,Jean Felix Lalanne,These ads ran without a disclaimer,≤100
100396108007630,Listen,These ads ran without a disclaimer,≤100
348878598589697,La belle vie by Fabienne,These ads ran without a disclaimer,≤100
386587978073806,Si me pones niñera no voy al colegio,These ads ran without a disclaimer,≤100
717410685082666,Jennyfer Guyane - Carte VIP,These ads ran without a disclaimer,≤100
368478797200241,Association l'Arbre Fromager,These ads ran without a disclaimer,≤100
660605300621460,Fondation Brigitte Bardot,These ads ran without a disclaimer,≤100
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,≤100
447831545247260,Audi Latinoamérica,These ads ran without a disclaimer,≤100
108217120986234,King Of Clothes,These ads ran without a disclaimer,≤100
805505439523223,ENERGY OBSERVER,ENERGY OBSERVER,≤100
193863317737,eToro,These ads ran without a disclaimer,≤100
199685956563809,Aide et sociale,These ads ran without a disclaimer,≤100
261412201407120,IRDTS Guyane,These ads ran without a disclaimer,≤100
104917291251176,feyturn_cbn,These ads ran without a disclaimer,≤100
561493610550062,Bombshell Sportswear,These ads ran without a disclaimer,≤100
102962924573499,Melchior.fr,Agence Verywell,≤100
111376406891775,Coolmic FR,These ads ran without a disclaimer,≤100
2284936095097851,wonderky,These ads ran without a disclaimer,≤100
374446263127711,AlloJeffrey,These ads ran without a disclaimer,≤100
200768663117617,High Manifestation,These ads ran without a disclaimer,≤100
119365512118453,Groupama Antilles Guyane,These ads ran without a disclaimer,≤100
106897824968476,Soutenons les nôtres,These ads ran without a disclaimer,≤100
451784215004047,CFA-Districom Formation,These ads ran without a disclaimer,≤100
439170239457452,Les Racines du Succès,These ads ran without a disclaimer,≤100
102635315663136,CEOG - Centrale Électrique de l'Ouest Guyanais,These ads ran without a disclaimer,≤100
1499953430289314,RDI.Guyane,These ads ran without a disclaimer,≤100
499216563439238,Politique Guadeloupe,These ads ran without a disclaimer,≤100
1675949242483525,Restaurant NAOS video Pub,These ads ran without a disclaimer,≤100
144605586488363,Sainte Vierge de Gwadalupe,These ads ran without a disclaimer,≤100
110065408663171,Will S,These ads ran without a disclaimer,≤100
105835564457810,Series,These ads ran without a disclaimer,≤100
106217518528394,Bilibili Comics home,These ads ran without a disclaimer,≤100
171642822876384,Réunion la 1ère,These ads ran without a disclaimer,≤100
129332823868340,Eau Thermale Avène,These ads ran without a disclaimer,≤100
107298724494590,Revolución Racing Frutillar,These ads ran without a disclaimer,≤100
103029857789637,Brigitte Breton Fayet,These ads ran without a disclaimer,≤100
108440665111250,louischarles.a,These ads ran without a disclaimer,≤100
1570998009779102,Atéa Créations,These ads ran without a disclaimer,≤100
1705588829739714,Platinum_officiel,These ads ran without a disclaimer,≤100
122037308191612,Make.org,These ads ran without a disclaimer,≤100
391279910916767,Bitwip,These ads ran without a disclaimer,≤100
816074091903635,Comme Avant,These ads ran without a disclaimer,≤100
100339704951175,Aide familiale non remboursable,These ads ran without a disclaimer,≤100
353568358747,Tev - Ici Japon,These ads ran without a disclaimer,≤100
337196160276533,Kreyol pailles,These ads ran without a disclaimer,≤100
100776202191315,Infinite Force,These ads ran without a disclaimer,≤100
265954295255320,FMI Finance,These ads ran without a disclaimer,≤100
343459706117402,Word Collect,These ads ran without a disclaimer,≤100
858794104264469,GAINDE 2000,These ads ran without a disclaimer,≤100
1258653814154594,Gwiyàn: Nguvu ni wetu,These ads ran without a disclaimer,≤100
1276740932413062,Dauphin Telecom Business,These ads ran without a disclaimer,≤100
228889237487093,Best Expat Insurance Deals,These ads ran without a disclaimer,≤100
104858584273915,Jofaly,These ads ran without a disclaimer,≤100
784009015121501,Kendy Polestin,These ads ran without a disclaimer,≤100
228016100623098,Maelle Cabarrus -  ALaFolie,These ads ran without a disclaimer,≤100
190010265716,Cisco Networking Academy,These ads ran without a disclaimer,≤100
343361735860235,MonElection.eu,These ads ran without a disclaimer,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
170426283010734,Nouvelle-calédonie la 1ère,These ads ran without a disclaimer,≤100
627938454352449,Commerce Engagé Guyane,These ads ran without a disclaimer,≤100
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100
107150486027181,Milenis,These ads ran without a disclaimer,≤100
8340223883,Avaaz,Avaaz,≤100
360424321432255,Doha Debates,These ads ran without a disclaimer,≤100
633065776841732,Classiques Garnier,These ads ran without a disclaimer,≤100
381311761885808,Guyane la 1ère,These ads ran without a disclaimer,≤100
371545196251907,BriaAndChrissy,These ads ran without a disclaimer,≤100
676692975786082,Fun Games For Free,These ads ran without a disclaimer,≤100
186734815446131,E2C Guyane,These ads ran without a disclaimer,≤100
554987987919847,Suntech Distribution,These ads ran without a disclaimer,≤100
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100
11450328749,Jean-Luc Mélenchon,La France insoumise,≤100
1837396762937162,Politique de Vie,Politique de Vie,≤100
148403952510172,My Better Self,These ads ran without a disclaimer,≤100
1276503745842895,DYLN Alkaline Water Bottle,These ads ran without a disclaimer,≤100
357941764242971,NIVEA Antilles Guyane,These ads ran without a disclaimer,≤100
